Category,Product Name,Current Price,Original Price,Product URL
Food Cupboard,Kara Uht Coconut Cream 65ml,KES 75,No discount,https://naivas.online/kara-uht-coconut-cream-65ml
Food Cupboard,Ajab Premium Maize Meal 2Kg,KES 160,KES 175,https://naivas.online/ajab-premium-maize-meal-2kg
Food Cupboard,Kensalt 1Kg,KES 45,No discount,https://naivas.online/kensalt-iodated-table-salt-1kg
Food Cupboard,Royco Stock Cube Beef Seasoning 40'S,KES 150,No discount,https://naivas.online/royco-stock-cube-beef-seasoning-40%27s
Food Cupboard,Dola Maize Meal 2Kg,KES 153,No discount,https://naivas.online/dola-maize-meal-2kg
Food Cupboard,Jogoo Maize Meal 2Kg,KES 150,KES 167,https://naivas.online/jogoo-maize-meal-2kg
Food Cupboard,Kensalt Iodated Table Salt 2Kg,KES 90,No discount,https://naivas.online/kensalt-iodated-table-salt-2kg
Food Cupboard,Mumias Sugar Packed 2 kg,KES 249,KES 289,https://naivas.online/mumias-sugar-packed-2-kg
Food Cupboard,Tropical H/Salted Potato Crisp 50G,KES 60,No discount,https://naivas.online/tropical-heat-potato-crisps-salted-50g
Food Cupboard,Soko Home Baking 2Kg,KES 161,No discount,https://naivas.online/soko-home-baking-2kg
Food Cupboard,Exe Mandazi Flour 2Kg,KES 186,No discount,https://naivas.online/exe-mandazi-flour-2kg
Food Cupboard,Naivas Local Sugar White 1Kg,KES 140,No discount,https://naivas.online/naivas-local-sugar-white-1kg
Food Cupboard,Isinya Eggs 30 Pieces,KES 559,KES 575,https://naivas.online/isinya-eggs-30-pieces
Food Cupboard,Naivas Local Sugar White 2Kg,KES 279,No discount,https://naivas.online/naivas-local-sugar-white-2kg
Food Cupboard,Mumias Sugar Packed 1 kg,KES 129,KES 145,https://naivas.online/mumias-sugar-packed-1-kg
Food Cupboard,Ajab Home Baking Flour 1Kg,KES 82,KES 87,https://naivas.online/ajab-home-baking-flour-1kg
Food Cupboard,Nutrameal Green Grams Polished 1Kg,KES 235,No discount,https://naivas.online/nutrameal-green-grams-polished-1kg
Food Cupboard,Santa Lucia Spaghetti 400,KES 160,KES 219,https://naivas.online/santa-lucia-spaghetti-400
Food Cupboard,Nutrameal Packed Sugar White 2Kg,KES 289,No discount,https://naivas.online/nutrameal-packed-sugar-white-2kg
Food Cupboard,Exe Chapati Flour 2Kg,KES 178,No discount,https://naivas.online/exe-chapati-flour-2kg
Food Cupboard,Blueband Margarine 500g,KES 270,KES 300,https://naivas.online/blueband-margarine-500g
Food Cupboard,Prestige Margarine 1Kg,KES 449,KES 495,https://naivas.online/prestige-margarine-1kg
Food Cupboard,Kensalt 500G,KES 27,No discount,https://naivas.online/kensalt-iodized-table-salt-500g
Food Cupboard,Exe Self Raising Flour 2Kg,KES 187,No discount,https://naivas.online/exe-self-raising-flour-2kg
Food Cupboard,Naivas Kamande Beans 1Kg,KES 385,KES 455,https://naivas.online/naivas-kamande-beans-1kg
Food Cupboard,Prestige Margarine Original 500 g,KES 249,KES 275,https://naivas.online/prestige-margarine-original-500-g
Food Cupboard,Economy Sugar White 5Kg,KES 690,No discount,https://naivas.online/economy-sugar-white-5kg
Food Cupboard,Ajab Fortified Self Raising 2 Kg,KES 162,KES 172,https://naivas.online/ajab-fortified-self-raising-2-kg
Food Cupboard,Soko Maize Meal 5Kg,KES 425,No discount,https://naivas.online/soko-maize-meal-5kg
Food Cupboard,Rina Vegetable Oil 2L,KES 599,KES 680,https://naivas.online/rina-vegetable-oil-2l
Food Cupboard,Ranee Spaghetti 400g,KES 95,No discount,https://naivas.online/ranee-spaghetti-400g
Food Cupboard,Santa Maria Spaghetti 400g,KES 159,No discount,https://naivas.online/santa-maria-spaghetti-400g
Food Cupboard,Weetabix 850g,KES 639,KES 710,https://naivas.online/weetabix-850g
Food Cupboard,Pep Tomato Paste 70G Pouch,KES 65,No discount,https://naivas.online/peptang-tomato-paste-pouch-70g
Food Cupboard,Royco Beef Mchuzi Mix 70Gm,KES 40,No discount,https://naivas.online/royco-mchuzi-mix-beef-70g
Food Cupboard,Famila Pure Wimbi 1Kg,KES 174,No discount,https://naivas.online/famila-pure-wimbi-1kg
Food Cupboard,Clovers Bi-Carbonate Soda 100G,KES 23,No discount,https://naivas.online/clovers-bicarbonate-of-soda-100g
Food Cupboard,Fresh Fri Vegetable Oil 3L,KES 819,"KES 1,060",https://naivas.online/fresh-fri-vegetable-oil-3l
Food Cupboard,Pembe Maize Meal 2Kg,KES 165,No discount,https://naivas.online/pembe-maize-meal-2kg
Food Cupboard,Zesta Hot & Sweet Sauce 720g,KES 140,KES 189,https://naivas.online/zesta-hot-sweet-sauce-720g
Food Cupboard,Isinya Eggs 15 Pieces,KES 299,No discount,https://naivas.online/isinya-eggs-15-pieces
Food Cupboard,Nutrameal Packed Sugar White 1Kg,KES 145,No discount,https://naivas.online/nutrameal-packed-sugar-white-1kg
Food Cupboard,Indomie Noodle Beef 5 In 1 70g,KES 140,No discount,https://naivas.online/indomie-noodle-beef-5-in-1-70g
Food Cupboard,Pearl Pishori Rice 5Kg,"KES 1,599",No discount,https://naivas.online/pearl-pishori-rice-5kg
Food Cupboard,Pembe Home Baking All Purpose Flour 2Kg,KES 166,No discount,https://naivas.online/pembe-home-baking-all-purpose-flour-2kg
Food Cupboard,Naivas Sugar White 5Kg,KES 690,No discount,https://naivas.online/naivas-sugar-white-5kg
Food Cupboard,Blueband Margarine 250g,KES 160,No discount,https://naivas.online/blueband-margarine-250g
Food Cupboard,Gnomis Far Far 30Gm,KES 20,No discount,https://naivas.online/gnomis-far-far-30g
Food Cupboard,Chapa Mandashi Baking Pwd 100G,KES 35,No discount,https://naivas.online/chapa-mandashi-baking-powder-100g
Food Cupboard,Isinya Eggs 6 Pieces,KES 129,No discount,https://naivas.online/isinya-eggs-6-pieces
Food Cupboard,Knorr Soft Cube Beef Seasoning 6'S,KES 100,No discount,https://naivas.online/knorr-soft-cube-beef-seasoning-6-s
Food Cupboard,Krackles Tangy Tomato 30Gm,KES 58,No discount,https://naivas.online/krackles-potato-crisps-tangy-tomato-30g
Food Cupboard,Tropical Heroes Salted Crisps 40G,KES 49,KES 60,https://naivas.online/tropical-heroes-salted-crisps-40-g
Food Cupboard,Santa Lucia Spaghetti 700g,KES 280,KES 379,https://naivas.online/santa-lucia-spaghetti-700g
